Year;Value
1920;13.60
1921;13.20
1922;14.78
1923;15.28
1924;14.78
1925;14.78
1926;14.32
1927;14.47
1928;14.78
1929;15.11
1930;14.95
1931;16.00
1932;17.66
1933;19.71
1934;19.43
1935;19.15
1936;18.63
1937;18.38
1938;17.89
1939;18.38
1940;18.38
1941;18.13
1942;16.59
1943;15.28
1944;14.78
1945;14.47
1946;14.17
1947;11.93
1948;10.97
1949;10.63
1950;10.88
1951;10.30
1952;9.71
1953;9.65
1954;9.58
1955;9.65
1956;9.58
1957;9.32
1958;9.07
1959;8.89
1960;8.72
1961;8.61
1962;8.55
1963;8.45
1964;8.34
1965;8.24
1966;8.10
1967;7.82
1968;7.60
1969;7.23
1970;6.83
1971;6.45
1972;6.27
1973;6.04
1974;5.57
1975;4.95
1976;4.63
1977;4.42
1978;4.13
1979;3.80
1980;3.35
1981;2.98
1982;2.74
1983;2.64
1984;2.54
1985;2.44
1986;2.35
1987;2.32
1988;2.23
1989;2.13
1990;2.04
1991;1.92
1992;1.86
1993;1.81
1994;1.76
1995;1.72
1996;1.67
1997;1.62
1998;1.59
1999;1.57
2000;1.53
2001;1.48
2002;1.45
2003;1.42
2004;1.39
2005;1.35
2006;1.31
2007;1.27
2008;1.22
2009;1.22
2010;1.19
2011;1.17
2012;1.14
2013;1.12
2014;1.10
2015;1.10
2016;1.09
2017;1.06
2018;1.04
2019;1.02
2020;1.00
