year;IPC_equivalente
1920;14.75
1921;14.32
1922;16.03
1923;16.57
1924;16.03
1925;16.03
1926;15.53
1927;15.69
1928;16.03
1929;16.39
1930;16.21
1931;17.35
1932;19.16
1933;21.38
1934;21.07
1935;20.77
1936;20.21
1937;19.93
1938;19.41
1939;19.93
1940;19.93
1941;19.67
1942;17.99
1943;16.57
1944;16.03
1945;15.69
1946;15.36
1947;12.94
1948;11.9
1949;11.52
1950;11.8
1951;11.17
1952;10.54
1953;10.46
1954;10.39
1955;10.46
1956;10.39
1957;10.1
1958;9.83
1959;9.64
1960;9.46
1961;9.34
1962;9.28
1963;9.16
1964;9.05
1965;8.94
1966;8.78
1967;8.48
1968;8.24
1969;7.85
1970;7.41
1971;6.99
1972;6.8
1973;6.56
1974;6.05
1975;5.36
1976;5.02
1977;4.79
1978;4.48
1979;4.12
1980;3.63
1981;3.23
1982;2.97
1983;2.86
1984;2.75
1985;2.65
1986;2.55
1987;2.52
1988;2.41
1989;2.31
1990;2.21
1991;2.08
1992;2.02
1993;1.96
1994;1.91
1995;1.86
1996;1.82
1997;1.76
1998;1.73
1999;1.7
2000;1.66
2001;1.6
2002;1.58
2003;1.54
2004;1.51
2005;1.46
2006;1.42
2007;1.38
2008;1.33
2009;1.33
2010;1.29
2011;1.27
2012;1.24
2013;1.21
2014;1.2
2015;1.19
2016;1.18
2017;1.16
2018;1.13
2019;1.11
2020;1.08
2021;1.07
2022;1
